Hour,Lane 1 Speed (mph),Lane 1 Flow (Veh/Hour),Lane 2 Speed (mph),Lane 2 Flow (Veh/Hour),Lane 3 Speed (mph),Lane 3 Flow (Veh/Hour),Speed (mph),Flow (Veh/Hour),# Lane Points,% Observed,Lane 1 Occ (%),Lane 2 Occ (%),Lane 3 Occ (%),Occupancy (%)
1/1/2022 0:00,71.3,321,69.3,460,62.4,229,68.3,1010,36,100,1.9,2.8,1.5,2
1/1/2022 1:00,71.4,361,69.2,515,62.9,252,68.5,1128,36,100,2.1,3.2,1.6,2.3
1/1/2022 2:00,71.7,270,69.3,385,62.7,159,68.8,814,36,100,1.6,2.4,1,1.7
1/1/2022 3:00,72,185,69.5,306,62.8,134,68.8,625,36,100,1.1,1.9,0.9,1.3
1/1/2022 4:00,72,140,69.5,263,62.7,79,69.1,482,36,100,0.8,1.6,0.5,1
1/1/2022 5:00,71.8,119,69.4,273,62.8,84,68.8,476,36,100,0.7,1.7,0.5,1
1/1/2022 6:00,71.7,129,69.7,269,62.8,118,68.6,516,36,100,0.7,1.6,0.8,1
1/1/2022 7:00,72,187,69.8,317,62.8,185,68.5,689,36,100,1,1.9,1.2,1.4
1/1/2022 8:00,72,241,69.8,424,62.7,220,68.6,885,36,100,1.3,2.5,1.4,1.8
1/1/2022 9:00,72.2,443,70.1,634,63.1,310,69.2,1387,36,100,2.5,3.8,2,2.7
1/1/2022 10:00,72.9,647,69.3,771,63.5,426,69.2,1844,36,100,3.6,4.6,2.7,3.6
1/1/2022 11:00,70.9,791,69,844,62.1,451,68.2,2086,36,100,4.4,5.1,2.9,4.1
1/1/2022 12:00,70.8,809,69.3,862,61.5,496,68.1,2167,36,100,4.5,5.2,3.2,4.3
1/1/2022 13:00,70.9,857,69.3,852,61.5,538,68.1,2247,36,100,4.8,5.1,3.4,4.4
1/1/2022 14:00,71.6,897,69.2,926,61.5,582,68.2,2405,36,100,5,5.6,3.7,4.8
1/1/2022 15:00,74,997,69.3,975,63.2,579,69.7,2551,36,100,5.6,5.8,3.6,5
1/1/2022 16:00,72.8,1031,70.5,994,62.8,559,69.8,2584,36,100,5.9,6,3.6,5.2
1/1/2022 17:00,71.4,1079,68.6,1008,61.6,579,68.2,2666,36,100,6.3,6.3,3.8,5.5
1/1/2022 18:00,72.2,1028,66.8,1026,62.5,567,68,2621,36,100,6,6.4,3.7,5.3
1/1/2022 19:00,73,802,67.5,850,63,464,68.6,2116,36,100,4.6,5.2,3,4.3
1/1/2022 20:00,71.6,751,66.8,802,62.9,452,67.7,2005,36,100,4.4,5,2.9,4.1
1/1/2022 21:00,72.3,638,69.8,653,62.7,351,69.3,1642,36,100,3.7,4,2.2,3.3
1/1/2022 22:00,71.6,474,69,580,62.7,285,68.6,1339,36,100,2.7,3.6,1.8,2.7
1/1/2022 23:00,71.6,329,69.2,466,62.6,207,68.6,1002,36,100,1.9,2.9,1.3,2
1/2/2022 0:00,71.6,294,69.2,409,62.6,171,68.8,874,36,100,1.7,2.5,1.1,1.8
1/2/2022 1:00,71.7,206,69.6,322,62.7,144,68.8,672,36,100,1.2,2,0.9,1.4
1/2/2022 2:00,71.9,178,69.6,294,62.6,121,68.9,593,36,100,1,1.8,0.8,1.2
1/2/2022 3:00,71.9,117,69.6,253,62.6,88,68.8,458,36,100,0.7,1.6,0.6,0.9
1/2/2022 4:00,71.8,106,69.6,253,62.7,81,68.8,440,36,100,0.6,1.6,0.5,0.9
1/2/2022 5:00,71.9,120,69.5,236,62.7,90,68.8,446,36,100,0.7,1.4,0.6,0.9
1/2/2022 6:00,71.8,144,69.6,312,62.7,122,68.7,578,36,100,0.8,1.9,0.8,1.2
1/2/2022 7:00,71.8,249,69.8,386,62.7,194,68.7,829,36,100,1.4,2.3,1.2,1.6
1/2/2022 8:00,72,466,69.8,642,62.4,320,68.8,1428,36,100,2.6,3.8,2.1,2.8
1/2/2022 9:00,71.9,667,70.1,787,62.9,428,69.1,1882,36,100,3.7,4.7,2.7,3.7
1/2/2022 10:00,69.7,939,68.2,983,61.1,513,67.3,2435,36,100,5.3,6,3.4,4.9
1/2/2022 11:00,69,1134,67.9,1113,61.5,566,67.1,2813,36,100,6.4,6.8,3.7,5.6
1/2/2022 12:00,68.1,1268,67.4,1129,61.8,650,66.5,3047,36,100,7.3,6.9,4.2,6.1
1/2/2022 13:00,67.3,1146,66.8,1084,60.5,600,65.7,2830,36,100,6.6,6.7,4,5.8
1/2/2022 14:00,68.2,1160,67.4,1068,61.2,617,66.4,2845,36,100,6.6,6.5,4,5.7
1/2/2022 15:00,68.3,1183,68.1,1070,61.1,641,66.6,2894,36,100,6.8,6.5,4.2,5.8
1/2/2022 16:00,67.8,1259,67.6,1106,62.6,654,66.6,3019,36,100,7.3,6.8,4.2,6.1
1/2/2022 17:00,66,1193,65.9,1088,61.6,613,65.1,2894,36,100,7.1,6.8,4.1,6
1/2/2022 18:00,66.5,1127,66.4,1098,62.1,601,65.5,2826,36,100,6.6,6.8,3.9,5.8
1/2/2022 19:00,67.5,876,67.1,922,62.6,506,66.3,2304,36,100,5.1,5.7,3.3,4.7
1/2/2022 20:00,71.9,740,67.8,755,62.8,435,68.2,1930,36,100,4.2,4.6,2.8,3.9
1/2/2022 21:00,72.1,597,69.7,676,62.9,352,69.1,1625,36,100,3.4,4.1,2.2,3.2
1/2/2022 22:00,71.7,404,69.3,500,62.6,221,68.8,1125,36,100,2.3,3,1.4,2.3
1/2/2022 23:00,72,270,69.8,358,62.8,178,69,806,36,100,1.5,2.2,1.1,1.6
1/3/2022 0:00,71.9,176,69.5,289,62.7,144,68.6,609,36,100,1,1.8,0.9,1.2
1/3/2022 1:00,71.8,115,69.4,200,62.6,76,68.8,391,36,100,0.7,1.3,0.5,0.8
1/3/2022 2:00,71.9,107,69.5,236,62.8,82,68.8,425,36,100,0.6,1.5,0.5,0.9
1/3/2022 3:00,71.9,111,69.5,236,62.7,80,68.8,427,36,100,0.6,1.5,0.5,0.9
1/3/2022 4:00,71.9,232,69.5,311,62.8,131,69,674,36,100,1.3,1.9,0.9,1.3
1/3/2022 5:00,71.9,337,69,433,62.6,176,68.9,946,36,100,1.9,2.6,1.2,1.9
1/3/2022 6:00,71.6,407,69.4,523,62.6,215,68.9,1145,36,100,2.3,3.1,1.4,2.3
1/3/2022 7:00,71.8,537,69.1,604,62.7,315,68.7,1456,36,100,3,3.6,2.1,2.9
1/3/2022 8:00,71.5,631,69.9,760,62.5,413,68.8,1804,36,100,3.5,4.6,2.8,3.6
1/3/2022 9:00,72,724,67.8,854,62,465,68,2043,36,100,4.1,5.2,3.2,4.2
1/3/2022 10:00,69.4,900,67.1,935,62,551,66.8,2386,36,100,5.2,5.8,3.8,4.9
1/3/2022 11:00,70.1,873,67.5,968,62.3,562,67.2,2403,36,100,4.9,6,3.8,4.9
1/3/2022 12:00,69.4,800,66.8,871,62.1,614,66.4,2285,36,100,4.6,5.4,4.2,4.7
1/3/2022 13:00,69.4,763,67.6,860,62.1,570,66.8,2193,36,100,4.4,5.3,3.9,4.5
1/3/2022 14:00,68.3,1088,66.5,1027,61.9,622,66.2,2737,36,100,6.3,6.4,4.2,5.7
1/3/2022 15:00,68.2,1276,67,1155,63.7,625,66.8,3056,36,100,7.4,7.1,4.1,6.2
1/3/2022 16:00,68.1,1284,66.9,1056,63.4,612,66.7,2952,36,100,7.5,6.6,4.1,6
1/3/2022 17:00,65.9,1339,65.3,1099,62.9,654,65.1,3092,36,100,8.1,7,4.4,6.5
1/3/2022 18:00,67.7,990,66.2,962,63.9,564,66.3,2516,36,100,5.8,6,3.7,5.2
1/3/2022 19:00,72.8,668,70.6,744,63.2,429,69.7,1841,36,100,3.8,4.6,2.8,3.7
1/3/2022 20:00,72.1,512,70,606,63.2,362,69,1480,36,100,2.9,3.7,2.4,3
1/3/2022 21:00,72.4,351,69.8,485,62.8,268,68.9,1104,36,100,2,2.9,1.8,2.2
1/3/2022 22:00,71.9,249,69.7,389,62.3,232,68.3,870,36,100,1.4,2.4,1.6,1.8
1/3/2022 23:00,71.9,161,69.7,249,62.6,162,68.3,572,36,100,0.9,1.5,1.1,1.2
1/4/2022 0:00,71.9,102,69.7,200,62.6,100,68.5,402,36,100,0.6,1.2,0.7,0.8
1/4/2022 1:00,71.9,66,69.6,166,62.8,86,68.2,318,36,100,0.4,1,0.6,0.7
1/4/2022 2:00,71.9,57,69.6,146,62.8,88,68,291,36,100,0.3,0.9,0.6,0.6
1/4/2022 3:00,71.9,97,69.7,184,62.6,87,68.6,368,36,100,0.5,1.1,0.6,0.8
1/4/2022 4:00,71.8,182,70,298,62.8,122,69.1,602,36,100,1,1.8,0.8,1.2
1/4/2022 5:00,72.1,328,69.9,410,62.8,205,69.1,943,36,100,1.8,2.5,1.4,1.9
1/4/2022 6:00,72,448,69.8,482,62.5,250,69.1,1180,36,100,2.5,2.9,1.7,2.4
1/4/2022 7:00,71.8,654,69.6,711,62.3,364,68.9,1729,36,100,3.6,4.3,2.5,3.5
1/4/2022 8:00,72.5,626,70.5,760,63.4,463,69.4,1849,36,100,3.5,4.6,3.1,3.8
1/4/2022 9:00,72.7,688,68.4,790,62.1,472,68.4,1950,36,100,3.9,4.9,3.3,4
1/4/2022 10:00,72.3,799,69.8,895,61.7,515,68.8,2209,36,100,4.6,5.6,3.6,4.6
1/4/2022 11:00,72.9,928,67,921,61.4,600,67.8,2449,36,100,5.3,5.8,4.2,5.1
1/4/2022 12:00,73.8,1036,67.4,982,61.9,643,68.6,2661,36,100,5.9,6.1,4.4,5.5
1/4/2022 13:00,73.3,1092,67.6,983,61.6,620,68.5,2695,36,100,6.3,6.1,4.3,5.6
1/4/2022 14:00,69,1300,67.5,1122,62.9,634,67.2,3056,36,100,7.5,7,4.3,6.3
1/4/2022 15:00,68.1,1317,67.5,1125,61.7,633,66.6,3075,36,100,7.7,7,4.3,6.3
1/4/2022 16:00,67.8,1289,67.2,1065,62.5,643,66.4,2997,36,100,7.6,6.7,4.3,6.2
1/4/2022 17:00,66.2,1293,66.4,1060,62.7,645,65.5,2998,36,100,7.8,6.7,4.4,6.3
1/4/2022 18:00,66.5,1184,66.2,1023,62.5,640,65.5,2847,36,100,7.1,6.5,4.3,6
1/4/2022 19:00,72,728,69.9,773,62.5,460,69,1961,36,100,4.2,4.8,3.1,4
1/4/2022 20:00,72.1,543,69.5,645,62.5,363,68.8,1551,36,100,3.1,4,2.4,3.2
1/4/2022 21:00,72.3,367,70.2,484,62.4,316,68.8,1167,36,100,2.1,2.9,2.1,2.4
1/4/2022 22:00,71.7,258,70,403,62.5,238,68.5,899,36,100,1.5,2.4,1.6,1.8
1/4/2022 23:00,71.8,176,69.5,298,62.7,166,68.4,640,36,100,1,1.8,1.1,1.3
1/5/2022 0:00,71.8,118,69.8,210,62.8,114,68.5,442,36,100,0.7,1.3,0.8,0.9
1/5/2022 1:00,71.9,78,69.6,159,62.6,79,68.4,316,36,100,0.4,1,0.5,0.7
1/5/2022 2:00,72,70,69.7,161,62.7,83,68.3,314,36,100,0.4,1,0.6,0.7
1/5/2022 3:00,71.8,94,69.7,174,62.6,75,68.7,343,36,100,0.5,1.1,0.5,0.7
1/5/2022 4:00,71.7,193,69.9,281,62.7,113,69.1,587,36,100,1.1,1.7,0.8,1.2
1/5/2022 5:00,72,329,69.6,404,62.7,188,69,921,36,100,1.8,2.5,1.3,1.9
1/5/2022 6:00,71.7,422,70.1,504,62.6,256,69,1182,36,100,2.4,3,1.8,2.4
1/5/2022 7:00,71.6,630,69,752,62.5,354,68.6,1736,36,100,3.5,4.6,2.4,3.5
1/5/2022 8:00,71.2,719,68.7,832,62.1,446,68.1,1997,36,100,4.1,5.1,3.1,4.1
1/5/2022 9:00,71.1,715,67.8,801,61.8,474,67.6,1990,36,100,4.1,5,3.3,4.1
1/5/2022 10:00,69.9,809,67.1,880,61.5,536,66.8,2225,36,100,4.6,5.5,3.7,4.6
1/5/2022 11:00,70.2,872,67.2,943,61,554,66.8,2369,36,100,5,5.9,3.9,4.9
1/5/2022 12:00,69.3,1062,67,1013,61.7,648,66.7,2723,36,100,6.1,6.3,4.5,5.6
1/5/2022 13:00,69.3,1168,66.9,1077,61.6,645,66.7,2890,36,100,6.7,6.7,4.4,6
1/5/2022 14:00,69,1347,67.4,1147,61.9,660,66.9,3154,36,100,7.8,7.1,4.5,6.5
1/5/2022 15:00,68.6,1438,67.6,1166,62.2,691,66.9,3295,36,100,8.4,7.2,4.6,6.7
1/5/2022 16:00,68.2,1331,67.6,1088,62.5,636,66.9,3055,36,100,7.8,6.7,4.2,6.2
1/5/2022 17:00,66.6,1314,66.5,1109,62.8,612,65.8,3035,36,100,7.9,7,4.2,6.3
1/5/2022 18:00,66.7,1171,66,990,62.9,618,65.6,2779,36,100,7,6.3,4.2,5.8
1/5/2022 19:00,69.3,723,68,755,63.4,439,67.4,1917,36,100,4.2,4.7,2.9,3.9
1/5/2022 20:00,72.1,532,69.4,631,63.4,398,68.8,1561,36,100,3,3.9,2.6,3.2
1/5/2022 21:00,72,349,69.9,453,63,274,68.8,1076,36,100,2,2.7,1.8,2.2
1/5/2022 22:00,71.9,305,69.4,387,62.7,252,68.4,944,36,100,1.7,2.4,1.7,1.9
1/5/2022 23:00,71.7,200,69.2,303,62.5,173,68.3,676,36,100,1.2,1.9,1.2,1.4
1/6/2022 0:00,71.8,128,69.5,225,62.5,125,68.3,478,36,100,0.7,1.4,0.9,1
1/6/2022 1:00,71.7,101,69.6,164,62.7,95,68.4,360,36,100,0.6,1,0.6,0.8
1/6/2022 2:00,71.8,75,69.7,161,62.7,84,68.3,320,36,100,0.4,1,0.6,0.7
1/6/2022 3:00,71.9,109,69.7,166,62.7,102,68.4,377,36,100,0.6,1,0.7,0.8
1/6/2022 4:00,71.9,188,69.8,306,62.8,143,68.9,637,36,100,1,1.8,1,1.3
1/6/2022 5:00,71.7,345,69.4,401,62.7,194,68.9,940,36,100,1.9,2.4,1.3,1.9
1/6/2022 6:00,71.9,448,69.1,507,62.4,248,68.8,1203,36,100,2.5,3.1,1.7,2.4
1/6/2022 7:00,71.7,597,69.6,696,62.7,420,68.6,1713,36,100,3.3,4.2,2.9,3.5
1/6/2022 8:00,71,746,68.8,796,62.3,476,68.1,2018,36,100,4.2,4.9,3.3,4.1
1/6/2022 9:00,70.7,711,67.8,798,60.9,464,67.3,1973,36,100,4.1,5,3.3,4.1
1/6/2022 10:00,70,785,67.7,857,61.4,498,67.1,2140,36,100,4.5,5.3,3.5,4.4
1/6/2022 11:00,69.6,945,67.4,939,61,589,66.7,2473,36,100,5.4,5.9,4.1,5.1
1/6/2022 12:00,69.9,1014,67.5,957,61,563,67,2534,36,100,5.8,6,3.9,5.2
1/6/2022 13:00,69.1,1204,67.4,1051,61.3,663,66.7,2918,36,100,7,6.6,4.5,6
1/6/2022 14:00,68,1333,66,1139,61,642,65.8,3114,36,100,7.8,7.3,4.4,6.5
1/6/2022 15:00,68.2,1388,67.9,1172,62.9,667,67,3227,36,100,8.1,7.2,4.4,6.6
1/6/2022 16:00,68.3,1352,67.9,1147,61.9,659,66.8,3158,36,100,7.9,7.1,4.4,6.5
1/6/2022 17:00,66.5,1278,66.5,1039,61.4,584,65.5,2901,36,100,7.7,6.6,4,6.1
1/6/2022 18:00,66.1,1235,65.8,1081,60.6,664,64.8,2980,36,100,7.4,6.9,4.5,6.3
1/6/2022 19:00,70.8,725,69.9,758,62,493,68.3,1976,36,100,4.2,4.6,3.3,4
1/6/2022 20:00,72,554,70.1,695,63.1,419,69,1668,36,100,3.2,4.2,2.7,3.4
1/6/2022 21:00,72,437,69.1,553,62.5,308,68.5,1298,36,100,2.5,3.4,2,2.6
1/6/2022 22:00,72.1,279,69.6,424,62.2,256,68.4,959,36,100,1.6,2.6,1.7,2
1/6/2022 23:00,71.8,170,69.6,335,62.6,178,68.3,683,36,100,1,2,1.2,1.4
1/7/2022 0:00,71.9,139,69.6,233,62.6,133,68.4,505,36,100,0.8,1.4,0.9,1
1/7/2022 1:00,71.9,78,69.5,197,62.5,110,68,385,36,100,0.5,1.2,0.8,0.8
1/7/2022 2:00,71.8,72,69.5,163,62.6,79,68.3,314,36,100,0.4,1,0.6,0.7
1/7/2022 3:00,71.9,74,69.8,191,62.5,102,68.2,367,36,100,0.4,1.2,0.7,0.8
1/7/2022 4:00,72,159,69.6,289,62.7,120,68.8,568,36,100,0.9,1.8,0.8,1.1
1/7/2022 5:00,71.8,294,69.6,421,62.6,165,69,880,36,100,1.7,2.6,1.1,1.8
1/7/2022 6:00,72,428,69.4,528,62.2,261,68.8,1217,36,100,2.4,3.2,1.8,2.5
1/7/2022 7:00,71.4,551,68.8,659,61.3,363,68,1573,36,100,3.1,4,2.5,3.2
1/7/2022 8:00,71.3,650,67.9,763,60.3,420,67.4,1833,36,100,3.6,4.7,2.9,3.7
1/7/2022 9:00,70.9,723,67.8,819,59.4,476,66.9,2018,36,100,4.1,5.1,3.3,4.2
1/7/2022 10:00,70.4,865,66.3,926,59.4,548,66.2,2339,36,100,4.9,5.8,3.8,4.9
